DOY LAI_mean NDVI_mean
1 1 0.520457894736842 0.520457894736842
2 2 0.533173684210526 0.533173684210526
3 3 0.545889473684211 0.545889473684211
4 4 0.558605263157895 0.558605263157895
5 5 0.571321052631579 0.571321052631579
6 6 0.565839473684211 0.565839473684211
7 7 0.560357894736842 0.560357894736842
8 8 0.554876315789474 0.554876315789474
9 9 0.549394736842105 0.549394736842105
10 10 0.555546052631579 0.555546052631579
11 11 0.561697368421053 0.561697368421053
12 12 0.567848684210526 0.567848684210526
13 13 0.574 0.574
14 14 0.560305263157895 0.560305263157895
15 15 0.546610526315789 0.546610526315789
16 16 0.532915789473684 0.532915789473684
17 17 0.519221052631579 0.519221052631579
18 18 0.540793421052632 0.540793421052632
19 19 0.562365789473684 0.562365789473684
20 20 0.583938157894737 0.583938157894737
21 21 0.605510526315789 0.605510526315789
22 22 0.604306578947369 0.604306578947369
23 23 0.603102631578947 0.603102631578947
24 24 0.601898684210526 0.601898684210526
25 25 0.600694736842105 0.600694736842105
26 26 0.594057894736842 0.594057894736842
27 27 0.587421052631579 0.587421052631579
28 28 0.580784210526316 0.580784210526316
29 29 0.574147368421053 0.574147368421053
30 30 0.572743421052632 0.572743421052632
31 31 0.571339473684211 0.571339473684211
32 32 0.569935526315789 0.569935526315789
33 33 0.568531578947368 0.568531578947368
34 34 0.555985526315789 0.555985526315789
35 35 0.543439473684211 0.543439473684211
36 36 0.530893421052632 0.530893421052632
37 37 0.518347368421053 0.518347368421053
38 38 0.530168421052632 0.530168421052632
39 39 0.541989473684211 0.541989473684211
40 40 0.553810526315789 0.553810526315789
41 41 0.565631578947368 0.565631578947368
42 42 0.573368421052632 0.573368421052632
43 43 0.581105263157895 0.581105263157895
44 44 0.588842105263158 0.588842105263158
45 45 0.596578947368421 0.596578947368421
46 46 0.596650877192982 0.596650877192982
47 47 0.596722807017544 0.596722807017544
48 48 0.596794736842105 0.596794736842105
49 49 0.596866666666667 0.596866666666667
50 50 0.577554166666667 0.577554166666667
51 51 0.558241666666667 0.558241666666667
52 52 0.538929166666667 0.538929166666667
53 53 0.519616666666667 0.519616666666667
54 54 0.528988888888889 0.528988888888889
55 55 0.538361111111111 0.538361111111111
56 56 0.547733333333333 0.547733333333333
57 57 0.557105555555556 0.557105555555556
58 58 0.564511111111111 0.564511111111111
59 59 0.571916666666667 0.571916666666667
60 60 0.579322222222222 0.579322222222222
61 61 0.586727777777778 0.586727777777778
62 62 0.607151388888889 0.607151388888889
63 63 0.627575 0.627575
64 64 0.647998611111111 0.647998611111111
65 65 0.668422222222222 0.668422222222222
66 66 0.653048611111111 0.653048611111111
67 67 0.637675 0.637675
68 68 0.622301388888889 0.622301388888889
69 69 0.606927777777778 0.606927777777778
70 70 0.624341666666667 0.624341666666667
71 71 0.641755555555556 0.641755555555556
72 72 0.659169444444444 0.659169444444444
73 73 0.676583333333333 0.676583333333333
74 74 0.706770833333333 0.706770833333333
75 75 0.736958333333333 0.736958333333333
76 76 0.767145833333333 0.767145833333333
77 77 0.797333333333333 0.797333333333333
78 78 0.776311111111111 0.776311111111111
79 79 0.755288888888889 0.755288888888889
80 80 0.734266666666667 0.734266666666667
81 81 0.713244444444444 0.713244444444444
82 82 0.729944444444445 0.729944444444445
83 83 0.746644444444444 0.746644444444444
84 84 0.763344444444444 0.763344444444444
85 85 0.780044444444444 0.780044444444444
86 86 0.7735125 0.7735125
87 87 0.766980555555556 0.766980555555556
88 88 0.760448611111111 0.760448611111111
89 89 0.753916666666667 0.753916666666667
90 90 0.717793055555556 0.717793055555556
91 91 0.681669444444444 0.681669444444444
92 92 0.645545833333333 0.645545833333333
93 93 0.609422222222222 0.609422222222222
94 94 0.6561625 0.6561625
95 95 0.702902777777778 0.702902777777778
96 96 0.749643055555556 0.749643055555556
97 97 0.796383333333333 0.796383333333333
98 98 0.809383333333333 0.809383333333333
99 99 0.822383333333333 0.822383333333333
100 100 0.835383333333333 0.835383333333333
101 101 0.848383333333333 0.848383333333333
102 102 0.877625 0.877625
103 103 0.906866666666667 0.906866666666667
104 104 0.936108333333333 0.936108333333333
105 105 0.96535 0.96535
106 106 0.9771625 0.9771625
107 107 0.988975 0.988975
108 108 1.0007875 1.0007875
109 109 1.0126 1.0126
110 110 1.03486666666667 1.03486666666667
111 111 1.05713333333333 1.05713333333333
112 112 1.0794 1.0794
113 113 1.10166666666667 1.10166666666667
114 114 1.10270277777778 1.10270277777778
115 115 1.10373888888889 1.10373888888889
116 116 1.104775 1.104775
117 117 1.10581111111111 1.10581111111111
118 118 1.12215138888889 1.12215138888889
119 119 1.13849166666667 1.13849166666667
120 120 1.15483194444444 1.15483194444444
121 121 1.17117222222222 1.17117222222222
122 122 1.22788611111111 1.22788611111111
123 123 1.2846 1.2846
124 124 1.34131388888889 1.34131388888889
125 125 1.39802777777778 1.39802777777778
126 126 1.401825 1.401825
127 127 1.40562222222222 1.40562222222222
128 128 1.40941944444444 1.40941944444444
129 129 1.41321666666667 1.41321666666667
130 130 1.52416111111111 1.52416111111111
131 131 1.63510555555556 1.63510555555556
132 132 1.74605 1.74605
133 133 1.85699444444444 1.85699444444444
134 134 1.96516805555556 1.96516805555556
135 135 2.07334166666667 2.07334166666667
136 136 2.18151527777778 2.18151527777778
137 137 2.28968888888889 2.28968888888889
138 138 2.46257916666667 2.46257916666667
139 139 2.63546944444444 2.63546944444444
140 140 2.80835972222222 2.80835972222222
141 141 2.98125 2.98125
142 142 2.95409305555556 2.95409305555556
143 143 2.92693611111111 2.92693611111111
144 144 2.89977916666667 2.89977916666667
145 145 2.87262222222222 2.87262222222222
